t_survey_name,t_survey_edition,t_country_l1u,t_country_set,mean_hs,year,iso2c,iso3c,continent,obsValue
ESS,2,SK,1,86.9475847893114,2004,SK,SVK,Europe,86.997978
ESS,2,TR,1,22.432213633188113,2006,TR,TUR,Asia,29.145285
ESS,3,AT,1,85.56976004343204,2007,AT,AUT,Europe,79.937111
ESS,3,BE,1,75.30647985989492,2006,BE,BEL,Europe,66.942078
ESS,3,CH,1,81.98814523789163,2006,CH,CHE,Europe,85.399803
ESS,3,DE,1,92.61494893472285,2006,DE,DEU,Europe,83.236916
ESS,3,DK,1,85.81016299137104,2006,DK,DNK,Europe,81.640114
ESS,3,EE,1,88.22222222222223,2007,EE,EST,Europe,88.840324
ESS,3,ES,1,53.4171524442479,2006,ES,ESP,Europe,49.688354
ESS,3,FI,1,79.27631578947368,2006,FI,FIN,Europe,79.636597
ESS,3,FR,1,78.22143100997327,2006,FR,FRA,Europe,67.428963
ESS,3,GB,1,59.822556581346674,2006,GB,GBR,Europe,70.901108
ESS,3,HU,1,77.16999262889847,2006,HU,HUN,Europe,78.073502
ESS,3,IE,1,69.27006244712706,2007,IE,IRL,Europe,67.726212
ESS,3,NL,1,65.11072702224361,2006,NL,NLD,Europe,72.365479
ESS,3,NO,1,88.61386138613861,2006,NO,NOR,Europe,78.896133
ESS,3,PL,1,83.04451124898655,2006,PL,POL,Europe,85.812027
ESS,3,PT,1,29.17608498603073,2007,PT,PRT,Europe,27.455584
ESS,3,SE,1,80.29710711493354,2006,SE,SWE,Europe,84.075623
ESS,3,SI,1,82.0675105485232,2006,SI,SVN,Europe,81.56337
ESS,3,SK,1,86.99743370402054,2007,SK,SVK,Europe,89.159355
ESS,4,BE,1,75.42290410950578,2008,BE,BEL,Europe,69.57618
ESS,4,CH,1,84.64044248105054,2008,CH,CHE,Europe,86.807938
ESS,4,CZ,1,94.3249793656181,2009,CZ,CZE,Europe,91.402893
ESS,4,DE,1,92.47025254055578,2008,DE,DEU,Europe,85.331169
ESS,4,DK,1,88.46511627906976,2008,DK,DNK,Europe,73.796883
ESS,4,EE,1,83.47826086956522,2009,EE,EST,Europe,88.67244
ESS,4,ES,1,49.891793866491774,2008,ES,ESP,Europe,51.101067
ESS,4,FI,1,82.45492371705964,2008,FI,FIN,Europe,81.073235
ESS,4,FR,1,76.36847056783125,2008,FR,FRA,Europe,69.598175
ESS,4,GB,1,62.98658218857821,2008,GB,GBR,Europe,71.640648
ESS,4,GR,1,67.11217031101755,2009,GR,GRC,Europe,61.4949
ESS,4,HU,1,80.311173638996,2009,HU,HUN,Europe,80.574211
ESS,4,IE,1,70.97675442798518,2009,IE,IRL,Europe,71.167923
ESS,4,IL,1,90.43613829273598,2008,IL,ISR,Asia,81.232933
ESS,4,NL,1,68.05324711849129,2008,NL,NLD,Europe,73.291946
ESS,4,NO,1,91.7516218721038,2008,NO,NOR,Europe,80.721535
ESS,4,PL,1,86.67580561592828,2008,PL,POL,Europe,87.148956
ESS,4,PT,1,30.12899693554525,2009,PT,PRT,Europe,29.904673
ESS,4,SE,1,86.99045967042498,2008,SE,SWE,Europe,85.041893
ESS,4,SI,1,81.56288156288156,2008,SI,SVN,Europe,82.043213
ESS,4,SK,1,89.9461975560332,2008,SK,SVK,Europe,89.933922
ESS,4,TR,1,24.905008331097562,2009,TR,TUR,Asia,31.054968
ESS,5,BE,1,78.81508078994614,2011,BE,BEL,Europe,71.266708
ESS,5,CH,1,85.30318602261048,2010,CH,CHE,Europe,85.033241
ESS,5,CZ,1,94.28294614124027,2011,CZ,CZE,Europe,92.332268
ESS,5,DE,1,90.4851957180538,2010,DE,DEU,Europe,85.810318
ESS,5,DK,1,79.76071784646062,2010,DK,DNK,Europe,75.625488
ESS,5,EE,1,90.30192131747484,2011,EE,EST,Europe,89.010262
ESS,5,ES,1,50.62658928171477,2011,ES,ESP,Europe,54.039322
ESS,5,FI,1,83.83838383838383,2010,FI,FIN,Europe,82.982826
ESS,5,FR,1,81.60140059016133,2010,FR,FRA,Europe,70.766678
ESS,5,GB,1,65.83558660779777,2010,GB,GBR,Europe,75.062401
ESS,5,GR,1,69.97499331999497,2011,GR,GRC,Europe,64.554779
ESS,5,HU,1,84.46041470434955,2010,HU,HUN,Europe,81.292351
ESS,5,IE,1,69.36396977652936,2011,IE,IRL,Europe,73.634674
ESS,5,IL,1,88.32206344612092,2011,IL,ISR,Asia,83.0131
ESS,5,NL,1,59.904536446083526,2010,NL,NLD,Europe,72.973579
ESS,5,NO,1,89.33376073764462,2010,NO,NOR,Europe,80.627556
ESS,5,PL,1,62.529486804610016,2010,PL,POL,Europe,88.514725
ESS,5,PT,1,29.52321373087124,2011,PT,PRT,Europe,35.027519
ESS,5,RU,1,94.11814182735895,2011,RU,RUS,Europe,94.032341
ESS,5,SE,1,88.67924528301887,2010,SE,SWE,Europe,86.272629
ESS,5,SI,1,84.15948275862068,2010,SI,SVN,Europe,83.310051
ESS,5,SK,1,91.36395657680882,2010,SK,SVK,Europe,90.96521
ESS,6,BE,1,76.48040033361134,2012,BE,BEL,Europe,71.643631
ESS,6,CH,1,86.16024973985432,2012,CH,CHE,Europe,85.665024
ESS,6,CZ,1,93.61374754400406,2013,CZ,CZE,Europe,92.820198
ESS,6,DE,1,90.60442383190183,2012,DE,DEU,Europe,86.300903
ESS,6,DK,1,85.3146853146853,2013,DK,DNK,Europe,78.266907
ESS,6,EE,1,90.7967032967033,2012,EE,EST,Europe,89.923866
ESS,6,ES,1,46.59473336505691,2013,ES,ESP,Europe,55.454384
ESS,6,FI,1,88.12589413447782,2012,FI,FIN,Europe,84.797287
ESS,6,GB,1,68.47571318832615,2012,GB,GBR,Europe,78.085228
ESS,6,IE,1,73.45132743766581,2013,IE,IRL,Europe,76.726036
ESS,6,IL,1,87.90144750291388,2012,IL,ISR,Asia,84.548172
ESS,6,IS,1,74.95716456139348,2012,IS,ISL,Europe,70.792191
ESS,6,NL,1,65.3000825716807,2012,NL,NLD,Europe,73.4235
ESS,6,NO,1,90.32258064516128,2012,NO,NOR,Europe,82.054008
ESS,6,PL,1,61.295298219854566,2012,PL,POL,Europe,89.597794
ESS,6,PT,1,35.12915583428677,2013,PT,PRT,Europe,40.047516
ESS,6,RU,1,94.86218018539421,2012,RU,RUS,Europe,92.091064
ESS,6,SE,1,89.96478873239437,2012,SE,SWE,Europe,87.502258
ESS,6,SI,1,85.50548112058465,2012,SI,SVN,Europe,84.972778
ESS,6,SK,1,93.83120092351824,2012,SK,SVK,Europe,91.714867
EVS,3,CZ,1,45.09002765993026,1999,CZ,CZE,Europe,86.044456
EVS,3,DK,1,42.95874822190612,1999,DK,DNK,Europe,79.631416
EVS,3,EE,1,78.28962644501178,1999,EE,EST,Europe,84.276428
EVS,3,ES,1,30.29925187032419,1999,ES,ESP,Europe,36.461109
EVS,3,FI,1,40.195371580214854,2e3,FI,FIN,Europe,73.162422
EVS,3,FR,1,36.036279307144945,1999,FR,FRA,Europe,61.862896
EVS,3,GR,1,84.08488063660478,1999,GR,GRC,Europe,47.755924
EVS,3,HU,1,39.83204617355464,1999,HU,HUN,Europe,67.34008
EVS,3,IT,1,58.286908077994426,1999,IT,ITA,Europe,42.241512
EVS,3,LV,1,62.05420827389444,1999,LV,LVA,Europe,83.658623
EVS,3,PL,1,42.74518036253068,1999,PL,POL,Europe,78.519493
EVS,3,PT,1,24.415843329466103,1999,PT,PRT,Europe,18.841005
EVS,3,SE,1,65.1363620015097,1999,SE,SWE,Europe,76.60656
EVS,3,SK,1,72.81527820424519,1999,SK,SVK,Europe,82.436844
EVS,3,TR,1,26.25,2001,TR,TUR,Asia,23.551388
EVS,4,AT,1,37.95343805502829,2008,AT,AUT,Europe,80.879913
EVS,4,BE,1,65.39423619516701,2009,BE,BEL,Europe,70.572891
EVS,4,CH,1,42.53770621752057,2008,CH,CHE,Europe,86.807938
EVS,4,CZ,1,92.00298061249804,2008,CZ,CZE,Europe,90.903305
EVS,4,DK,1,83.18670521146304,2008,DK,DNK,Europe,73.796883
EVS,4,EE,1,57.234469817051256,2008,EE,EST,Europe,88.307182
EVS,4,ES,1,55.48250525877759,2008,ES,ESP,Europe,51.101067
EVS,4,FI,1,74.12344203182717,2009,FI,FIN,Europe,81.973129
EVS,4,FR,1,54.035414938630986,2008,FR,FRA,Europe,69.598175
EVS,4,GR,1,62.20078293248928,2008,GR,GRC,Europe,61.307026
EVS,4,HU,1,68.18465929164228,2008,HU,HUN,Europe,79.703362
EVS,4,IE,1,64.06795246256225,2008,IE,IRL,Europe,69.453362
EVS,4,IS,1,70.12383549007829,2009,IS,ISL,Europe,69.99408
EVS,4,IT,1,68.71056253946979,2009,IT,ITA,Europe,54.301182
EVS,4,LT,1,73.39665228376666,2008,LT,LTU,Europe,90.551498
EVS,4,LV,1,86.44612299104901,2008,LV,LVA,Europe,85.858513
EVS,4,NL,1,58.47488010416072,2008,NL,NLD,Europe,73.291946
EVS,4,NO,1,78.34736958777273,2008,NO,NOR,Europe,80.721535
EVS,4,PL,1,69.52131330557717,2008,PL,POL,Europe,87.148956
EVS,4,PT,1,34.01182120207822,2008,PT,PRT,Europe,28.247944
EVS,4,SE,1,87.06501851560485,2009,SE,SWE,Europe,85.738892
EVS,4,SI,1,57.12090740573122,2008,SI,SVN,Europe,82.043213
EVS,4,SK,1,85.59969984566482,2008,SK,SVK,Europe,89.933922
EVS,4,TR,1,26.376607414204383,2009,TR,TUR,Asia,31.054968
ISJP,1991,NL,1,52.779836916234245,1991,NL,NLD,Europe,56.256195
ISJP,1996,CZ,1,50.112612612612615,1995,CZ,CZE,Europe,83.365257
ISSP,1989,IE,1,36.30862329803328,1989,IE,IRL,Europe,38.039574
ISSP,1989,IT,1,46.6403162055336,1989,IT,ITA,Europe,25.675407
ISSP,1989,NO,1,74.94456762749445,1989,NO,NOR,Europe,77.430389
ISSP,1990,IE,1,39.229671897289585,1991,IE,IRL,Europe,40.19709
ISSP,1991,AU,1,44.97843499691928,1993,AU,AUS,Oceania,52.840954
ISSP,1991,IE,1,39.229671897289585,1991,IE,IRL,Europe,40.19709
ISSP,1991,NL,1,34.75982532751092,1991,NL,NLD,Europe,56.256195
ISSP,1991,NO,1,71.29237288135593,1991,NO,NOR,Europe,79.128326
ISSP,1996,AU,1,50.890410958904106,1997,AU,AUS,Oceania,53.304726
ISSP,1996,CA,1,83.23990576388245,1996,CA,CAN,Americas,76.351952
ISSP,1996,CH,1,89.21593137462057,1998,CH,CHE,Europe,83.722603
ISSP,1996,FR,1,59.52389951519894,1997,FR,FRA,Europe,59.492569
ISSP,1996,LV,1,83.6284793529949,1996,LV,LVA,Europe,80.810219
ISSP,1996,PL,1,42.753921968679926,1997,PL,POL,Europe,77.045425
ISSP,1996,US,1,89.1891891891892,1996,US,USA,Americas,85.659416
ISSP,1998,AU,1,47.706422018348626,1998,AU,AUS,Oceania,56.044041
ISSP,1998,CA,1,84.8517708526553,2e3,CA,CAN,Americas,80.667519
ISSP,1998,CH,1,38.226612688785046,1999,CH,CHE,Europe,83.877975
ISSP,1998,CZ,1,40.76864857019437,1999,CZ,CZE,Europe,86.044456
ISSP,1998,DK,1,70.75208913649024,1998,DK,DNK,Europe,78.511116
ISSP,1998,ES,1,66.48113790970935,1998,ES,ESP,Europe,34.647884
ISSP,1998,FR,1,59.850251789544586,1998,FR,FRA,Europe,60.721935
ISSP,1998,HU,1,39.23123251302571,1998,HU,HUN,Europe,63.279564
ISSP,1998,IT,1,46.8735092440976,1999,IT,ITA,Europe,42.241512
ISSP,1998,LV,1,92.65536723163842,1998,LV,LVA,Europe,82.863884
ISSP,1998,NL,1,69.54213669542136,1998,NL,NLD,Europe,64.313591
ISSP,1998,PL,1,43.811020203593,1999,PL,POL,Europe,78.519493
ISSP,1998,PT,1,13.374743890199026,1999,PT,PRT,Europe,18.841005
ISSP,1998,SE,1,46.39905548996458,1998,SE,SWE,Europe,76.140327
ISSP,1998,SK,1,75.1472320376914,1998,SK,SVK,Europe,80.2006
ISSP,1998,US,1,88.42544316996872,1998,US,USA,Americas,86.455223
ISSP,2004,AT,1,30.392302557089916,2004,AT,AUT,Europe,76.33374
ISSP,2004,AU,1,75.5719557195572,2005,AU,AUS,Oceania,65.032036
